path,category,action,reasoning
scripts/l_arc_2/step3/_common.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/_data.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/_haircut.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/_pca.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/_predictor.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/determinism_check.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_2/step3/run_step3.py,scratch_unclear,commit,L Arc 2 pipeline source — currently active per STATUS.md
scripts/l_arc_3/__init__.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/determinism_check.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/finalize_step1.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/fire_clustering_diagnostic.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/signal_revalidation.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/__init__.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/_io.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_a_features.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_a_lookahead.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_b_marginals.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_c_conditional.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_d_stability.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_e_shadows.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_f_cost_stress.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_g_random.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_h_held_bar.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_i_report.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/phase_j_arc3_addenda.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/run_determinism_check.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step2/run_step2.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/__init__.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_clustering.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_common.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_data.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_haircut.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_pca.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/_predictor.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/determinism_check.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/phase_j_arc3_addenda.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/l_arc_3/step3/run_step3.py,scratch_unclear,commit,L Arc 3 pipeline source — addenda exist per file names
scripts/lchar/__init__.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_band_behavior.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_characterisation.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_characterisation_v1_1.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_counterfactual_sweep_round_1.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_counterfactual_sweep_round_1_v2.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_entry_filter_bivariate.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_entry_filter_univariate.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_exit_counterfactuals_round2.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_exit_sweep_filtered.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_extended_analysis.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_gate_exit_analysis.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_path_by_subset.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_path_categories.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_path_detail_distributions.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_path_excursion_descriptives.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_per_bar_paths.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_per_bar_paths_v1_2_1.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_per_fold_clusters.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_phase3_wfo.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_tp1r_quick.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_trade_curves.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_trade_paths_by_block_b.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_trajectory_appendix.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/arc2_winner_path_analysis.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/compute_spread_floors.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/extract_deferred_candidates.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/finalize_manifest.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/generate_l4_char_reports.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/l4_characterisation.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/magnitude_distribution.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_l4_characterisation.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_layer1.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_layer2.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_layer3.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_layer4.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/lchar/run_layer5_selection.py,scratch_unclear,commit,LCHAR atlas + Arc 2 v1.1/v1.2 analysis source — feeds LCHAR_TOPN_REGISTRY.md
scripts/normalize_w1_data.py,scratch_unclear,commit,W1 data normalisation utility
tests/fixtures/wfo_v2_synthetic_harness.yaml,scratch_unclear,commit,WFO v2 synthetic test fixtures
tests/fixtures/wfo_v2_synthetic_harness_base.yaml,scratch_unclear,commit,WFO v2 synthetic test fixtures
tests/fixtures/wfo_v2_synthetic_harness_driver.py,scratch_unclear,commit,WFO v2 synthetic test fixtures
tests/fixtures/wfo_v2_synthetic_harness_generate.py,scratch_unclear,commit,WFO v2 synthetic test fixtures
tests/test_concurrent_filter_no_lookahead.py,scratch_unclear,commit,Lookahead-invariant test for concurrent_signals filter (Arc 1 CH-001 hardening)
tests/test_data_audit.py,scratch_unclear,commit,Data audit test (pairs with configs/data_audit.yaml)
tests/test_spread_floors_lock.py,scratch_unclear,commit,Spread-floors lock test (pairs with configs/spread_floors_5ers.yaml — already on main)
